keyword,volume,change_3m,change_yoy,competition,cpc_low,cpc_high,group,seed
fiesta safari 1 año,40,0%,-25%,Low,,,primer-anito,
mi primer añito para imprimir,40,0%,0%,Low,,,primer-anito,
primer añito decoracion de mickey rey,40,-25%,-40%,Low,,,primer-anito,
primer añito nena ideas,40,+75%,+600%,Low,,,primer-anito,
primer añito varon decoracion sencilla de la granja de zenon,40,+33%,-43%,Low,,,primer-anito,
primer añitos,40,-50%,-60%,Low,,,primer-anito,
arco de globo,40,+250%,-22%,Low,,,globos,
arca de globos,40,+250%,-22%,Low,,,globos,
arco de globos para entrada,40,+29%,+200%,Low,,,globos,
decoracion arco de globos,40,0%,-50%,Low,,,globos,
decoraciones para revelacion de genero,30,+33%,+300%,Low,,,revelacion,
ideas de juegos para revelacion de genero,30,0%,+100%,Low,,,revelacion,
revelación de sexos de bebés ideas sencillas,30,0%,0%,Low,,,revelacion,
primer añito,30,-33%,-33%,Low,,,primer-anito,yes
decoracion para bebe de 1 año,30,0%,-33%,Low,,,primer-anito,yes
primer año decoracion mickey bebe,30,-50%,-67%,Low,,,primer-anito,yes
decoracion de cumpleaños infantiles para 1 año varon,30,-50%,-75%,Low,,,primer-anito,
decoracion de moana bebe 1 año,30,-50%,-50%,Low,,,primer-anito,
decoracion para 1 añito nena,30,0%,-50%,Low,,,primer-anito,
decoración de la granja de zenón para primer añito sencillo,30,-67%,-50%,Low,,,primer-anito,
fiesta de príncipe 1 año,30,-33%,-33%,Low,,,primer-anito,
ideas para cumpleaños de 1 año varon sencillo,30,-20%,+300%,Low,,,primer-anito,
primer añito decoracion de la vaca lola,30,-25%,0%,Low,,,primer-anito,
recuerdo de 1 añito,30,-67%,-75%,Low,,,primer-anito,
temas para cumpleaños de 1 año varon,30,-33%,-33%,Low,,,primer-anito,
tematicas para cumpleaños de 1 año varon,30,-33%,-33%,Low,,,primer-anito,
arco globos,30,+100%,-20%,Low,,,globos,
arco con globos,30,+100%,-20%,Low,,,globos,
medio arco de globos sencillo,30,+150%,+25%,Low,,,globos,
arco con flores de globos,30,-33%,-33%,Low,,,globos,
decoracion jefe en pañales,30,0%,-60%,Low,,,tematicas,yes
decoracion de bebe mickey,30,0%,-33%,Low,,,tematicas,
decoraciones jefe en pañales,30,0%,-60%,Low,,,tematicas,
revelacion de bebe,20,0%,-50%,Low,,,revelacion,
globos para revelación de género,20,+300%,+100%,Low,,,revelacion,
decoración de revelación de género al aire libre,20,0%,+100%,Low,,,revelacion,
decoracion sencilla para revelacion de genero,20,+100%,+100%,Low,,,revelacion,
torta para revelacion de sexo,20,-33%,+100%,Low,,,revelacion,
decoracion para 1 añito,20,0%,0%,Low,,,primer-anito,
decoración jefe en pañales 1 año,20,0%,-50%,Low,,,primer-anito,
tematica para primer añito nena,20,-33%,+100%,Low,,,primer-anito,
tematica para primer añito varon,20,-50%,0%,Low,,,primer-anito,
recuerdo de mi primer añito,20,0%,0%,Low,,,primer-anito,
arco de globos para cumpleaños,20,-50%,-50%,Low,,,globos,
columnas de globos,20,+300%,0%,Low,,,globos,
medio arco de globos,20,-50%,-67%,Low,,,globos,
decoracion moana bebe,20,0%,0%,Low,,,tematicas,yes
decoracion minnie bebe,20,-50%,-67%,Low,,,tematicas,yes
decoracion mickey bebe,20,0%,-67%,Low,,,tematicas,yes
fiesta de moana bebe sencilla,20,+100%,+100%,Low,,,tematicas,
globo revelacion de genero,10,+100%,+100%,Low,,,revelacion,yes
kit revelacion de genero,10,,0%,Low,,,revelacion,yes
humo de color para revelacion de genero,10,0%,0%,Low,,,revelacion,
revelacion de genero paraguay,10,0%,0%,Low,,,revelacion,yes
arco de globos precio,10,,0%,Low,,,globos,yes
arco organico de globos,10,0%,0%,Low,,,globos,
cumpleaños de 1 año,10,0%,0%,Low,,,primer-anito,yes
decoracion primer añito,10,-100%,0%,,,,primer-anito,yes
torta primer añito,10,-100%,0%,,,,primer-anito,yes
torta para bautismo,320,+23%,+23%,Low,,,bautismo,
decoracion para bautizo,210,+136%,0%,Low,,,bautismo,
torta para bautismo nena,170,0%,+21%,Low,,,bautismo,
souvenir para bautismo,140,0%,-36%,Low,,,bautismo,
torta de bautismo,140,+22%,0%,Low,,,bautismo,
decoracion para bautizo nino,110,-18%,-18%,Low,,,bautismo,
decoracion de un bautismo,90,+57%,+57%,Low,,,bautismo,
decoracion para bautismo varon,90,+29%,-18%,Low,,,bautismo,
torta de bautismo de nena,90,+40%,0%,Low,,,bautismo,
decoracion bautismo,70,+67%,-29%,Low,,,bautismo,yes
bautizo decoracion,70,+67%,-29%,Low,,,bautismo,
decoración para bautismo varón,70,0%,-43%,Low,,,bautismo,
simple torta de bautismo varon,70,0%,-22%,Low,,,bautismo,
tortas bautismo nena modernas,70,+40%,-50%,Low,,,bautismo,
centro de mesa para bautizo,50,-25%,-40%,Low,,,bautismo,
decoracion de bautismo de nena,50,0%,0%,Low,,,bautismo,
torta de bautismo varon con crema,50,+67%,0%,Low,,,bautismo,
elegante decoracion de bautizo,40,+150%,0%,Low,,,bautismo,
faciles souvenirs de bautismo nena,40,+67%,+25%,Low,,,bautismo,
decoración para bautizo sencillo y económico,30,0%,+50%,Low,,,bautismo,
centros de mesa de bautizo,30,+200%,0%,Low,,,bautismo,
torta bautismo,30,+150%,+400%,Low,,,bautismo,yes
souvenirs bautismo,20,+100%,+33%,Low,,,bautismo,yes
decoración para bautizo en casa,20,+100%,-50%,Low,,,bautismo,
bienvenida bebe,40,+100%,-20%,Low,,,bienvenida,yes
bienvenida para bebe,40,-50%,-91%,Low,,,bienvenida,
bienvenido bebe,30,+50%,-40%,Low,,,bienvenida,
bienvenida al mundo bebe,30,-25%,+50%,Low,,,bienvenida,
bienvenido bebe varon,30,+100%,0%,Low,,,bienvenida,
fiesta de bienvenida bebe,10,0%,0%,Low,,,bienvenida,yes
decoracion bienvenida bebe,10,,0%,Low,,,bienvenida,yes
presentacion del bebe,10,0%,,Low,,,bienvenida,yes
decoracion hospital bebe,10,0%,0%,,,,bienvenida,yes
cuarentena bebe,10,0%,0%,,,,bienvenida,yes
globos personalizados,590,+23%,+23%,Low,,,globos,yes
decoracion con globos,260,0%,-46%,Low,,,globos,yes
arreglos de globos,260,+23%,0%,Low,,,globos,
decoracion de globos,210,+24%,-19%,Low,,,globos,
decoración de globos sencillos,110,+57%,-21%,Low,,,globos,
globos para cumpleaños,90,0%,-36%,Low,,,globos,
arreglos de globos para cumpleaños,90,+56%,+27%,Low,,,globos,
centros de mesa con globos,90,0%,-18%,Low,,,globos,
decoracion con cortinas y globos,90,-18%,0%,Low,,,globos,
globos personalizados para cumpleaños,70,+80%,+80%,Low,,,globos,
globos burbuja personalizados,70,+150%,-44%,Low,,,globos,
decoracion cumpleaños infantil,210,0%,-19%,Low,,,cumple-infantil,
centros de mesa para cumple infantil,210,0%,+86%,Low,,,cumple-infantil,
decoracion cumples infantiles,210,0%,-19%,Low,,,cumple-infantil,
decoracion infantil para cumpleaños,140,-47%,-57%,Low,,,cumple-infantil,
decoraciones de cumpleanos para ninos,140,0%,-35%,Low,,,cumple-infantil,
infantil decoracion de cumpleaños de dinosaurios,140,+22%,-48%,Low,,,cumple-infantil,
decoracion de cumpleaños infantil,40,-20%,0%,Low,,,cumple-infantil,yes
decoracion para boda civil sencilla en casa con globos,170,+50%,0%,Low,,,otros,
mesa de dulces sencilla,110,+22%,-21%,Low,,,mesa-dulce,
mesa de dulces,90,+29%,-36%,Low,,,mesa-dulce,
dulces mesa de postres,50,+40%,0%,Low,,,mesa-dulce,
mesa de bocaditos salados,40,+250%,+40%,Low,,,mesa-dulce,
mesa de dulces para cumpleaños,40,0%,-43%,Low,,,mesa-dulce,
mesa dulce,30,-25%,-25%,Low,,,mesa-dulce,yes
candy bar para cumpleaños,30,+33%,-20%,Low,,,mesa-dulce,
